genes	TCGA-55-8615-01A-11R-2403-07	TCGA-50-5051-01A-21R-1858-07	TCGA-NJ-A7XG-01A-12R-A39D-07	TCGA-91-6848-01A-11R-1949-07	TCGA-MP-A4T8-01A-11R-A24X-07	TCGA-55-6970-01A-11R-1949-07	TCGA-86-8359-01A-11R-2326-07	TCGA-64-1679-01A-21R-2066-07	TCGA-50-6595-01A-12R-1858-07	TCGA-99-8025-01A-11R-2241-07	TCGA-50-6594-01A-11R-1755-07	TCGA-64-1677-01A-01R-0946-07	TCGA-05-5420-01A-01R-1628-07	TCGA-75-5126-01A-01R-1755-07	TCGA-91-6849-01A-11R-1949-07	TCGA-99-7458-01A-11R-2039-07	TCGA-MP-A4TC-01A-11R-A24X-07	TCGA-05-4384-01A-01R-1755-07	TCGA-49-6745-01A-11R-1858-07	TCGA-95-A4VP-01A-21R-A262-07
ENSG00000001460	382.936494823109	355.184986972864	344.243011826072	635.050057862447	497.39483960899	400.969457149632	542.322707772467	293.651528908506	187.840355964361	406.493187786233	406.015624830648	469.779129880816	539.3055954476	372.451183078813	404.165145096197	301.069447267323	249.095220055325	546.148307632683	370.817895545364	407.788300719964
ENSG00000001461	1558.37329581009	1627.77827621084	1467.13856906322	2836.61700461247	2713.53592034714	1703.9518575414	3172.36355532513	1307.70676325062	1928.92999506119	1110.68839164215	634.909212324648	1690.2845193428	1724.57436650543	1991.36083857025	1177.49202282487	2430.14945775468	1588.07735589911	1734.35488513612	1798.6415180889	1815.28959006365
ENSG00000001497	1372.26698026191	1805.29861481916	2143.86542380749	1087.88569602565	2273.819763245	1367.08976895022	1879.37603376122	1607.18492232867	2306.20652073021	1771.71710324686	2091.55011064266	1423.43250267082	2325.17978477581	1912.61352626436	2058.21173782327	1928.37290458059	2515.27569942974	1651.29675434158	1619.73809380783	1733.14099716376
ENSG00000001561	1620.25800767307	2352.42565442288	2784.32553668293	5775.73330562765	2281.9933613833	2820.1311560383	2120.94885193312	2305.65027042235	1430.82309172484	1478.50289823908	3710.38926729636	4861.72164012551	2007.46513495021	4801.41473086849	1823.7174143892	3729.67335172158	1711.18815137741	1226.6446118215	1719.21857630581	1734.33565382299
ENSG00000001617	782.910699324263	2651.26526058236	2152.42009434782	916.040548574198	1034.89091219309	1322.71879896204	415.614242950822	1152.51589243259	1950.27905633356	2744.12029168445	940.511839584882	1212.34454544986	1336.92896631477	1753.19968282236	815.070546332167	1885.7095883902	1217.97739899237	2022.4209443322	1043.35337117339	2169.18007623226
ENSG00000001626	1034.53601575113	247.960711385401	1567.57631373845	1085.24602828997	928.436606252315	1140.46704685928	231.597865262288	13743.6411056584	1771.77762880717	857.606890224324	298.99620214957	438.191176411812	535.983389767875	718.099640501481	166.361855214946	431.992605522125	7289.24034267582	1107.67046330493	962.945951775838	311.526428261537
ENSG00000001629	4505.48919883188	4816.65394723168	4618.77328387895	5192.63092713602	6386.95535703105	4770.06173587013	4549.62840137066	4620.88697973458	4952.25377972978	6651.42947860154	4735.91364852274	4215.74481747992	4352.62663004341	7809.23921050341	4002.09115915207	3950.78119573508	3238.92950331148	3562.0713541978	6137.15783889869	3675.2106497736
ENSG00000001630	47.5728820961045	73.397176949842	120.041390421943	32.4564276482863	60.1189793802873	56.0725991282349	44.9621745152636	50.7566802673016	88.3274016934346	185.119233620764	28.8356480798296	55.9584632436675	77.8182000944326	57.9441222761706	68.1316392156686	109.303150046073	67.1513045622414	37.6091572274066	45.8775805751294	82.3690649841078
ENSG00000001631	264.778703483766	207.274681584881	201.678812793465	243.177173373897	221.953815072073	292.169960691782	290.470794088483	238.882109045439	220.302739525606	318.290021097969	231.955775420893	239.560108841354	175.35858553996	356.879175948285	249.443751274963	251.521945861859	184.554671590776	221.890745517395	327.032185974099	179.860975280097
ENSG00000002016	374.798248214871	174.427533703785	329.000203066192	445.922916508666	222.985466457409	277.517756831889	149.690289800748	319.036469189286	295.54166233114	445.207629770204	156.784557843382	289.451255176655	302.20754796657	619.798015851943	397.622011872762	265.694090023208	217.775192162848	237.728955179744	230.303127415388	552.709209336813
